o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:type,dcterms:identifier,dcterms:language,dcterms:created,dcterms:license
40,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen espagnol déterminant",déterminants,69,espagnol,,by
39,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen espagnol syntagme",syntagmes,68,espagnol,,by
38,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen espagnol conjugaisons",conjugaisons,67,espagnol,,by
37,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen français déterminants",déterminants,46,français,,by
36,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen français conjugaison",conjugaisons,44,français,,by
35,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen anglais général",concepts,42,anglais,,by
34,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen anglais syntagme",syntagmes,41,anglais,,by
33,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen anglais conjugaisons",conjugaisons,40,anglais,,by
32,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen anglais déterminants",déterminants,39,anglais,,by
31,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen anglais pronom",pronoms,38,anglais,,by
30,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen français général",concepts,34,français,,by
29,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen français négation",négations,16,français,,by
28,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen français pronom",pronoms,14,français,,by
27,genex_dictionnaire,genex:Dictionnaire,samuel.szoniecky@univ-paris8.fr,true,"gen français syntagmes",syntagmes,4,français,,by
